2572,gi|6322987|ref|NP_013059.1|,"Iron-sulfur protein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone; Sdh2p [Saccharomyces cerevisiae] ",266,30231,8.8,o,Q,SDH2,YLL041C,XII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,2,0,1,2,2,12.03,0.00007181,1,2,0,1,2,2,12.03,0.00007339,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000073,2,X,X,X,X,X,X,X,X,1,2,0,1,2,2,4.51,0.00007648,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000076,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2573,gi|6321992|ref|NP_012068.1|,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays increased frequency of mitochondrial genome loss (petite formation); Aim18p [Saccharomyces",321,36502,9.1,o,Q,AIM18,YHR198C,VIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,1,2,0,1,2,2,3.43,0.00006082,X,X,X,X,X,X,X,X,2,3,0,2,3,3,7.79,0.00009063,0.000076,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.43,0.00003169,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000032,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2574,gi|6322799|ref|NP_012872.1|,"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; phosphorylated during the cell cycle by cyclin-dependent kinases; Ask1p [Saccharomyces ce",292,32056,4.8,o,Q,ASK1,YKL052C,XI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,3,0,2,3,3,15.07,0.00009892,1,1,0,1,1,1,3.77,0.00003321,0.000066,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,5.82,0.00003484,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000035,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2575,gi|6323650|ref|NP_013721.1|,"Phospholipase B (lysophospholipase) involved in lipid metabolism, required for deacylation of phosphatidylcholine and phosphatidylethanolamine but not phosphatidylinositol; Plb1p [Saccharomyces cerevisiae] ",664,71667,4.7,o,S,PLB1,YMR008C,XIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.66,0.0000147,X,X,X,X,X,X,X,X,1,2,0,1,2,2,1.81,0.00002921,0.000022,2,X,X,X,X,X,X,X,X,1,2,0,1,2,2,1.66,0.00003064,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000031,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2576,gi|6319288|ref|NP_009371.1|,Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate; Gip4p [Saccharomyces cerevisiae] ,760,86636,9.7,o,Q,GIP4,YAL031C,I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,2,0,1,2,2,1.32,0.00002513,1,2,0,1,2,2,2.5,0.00002569,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000025,2,X,X,X,X,X,X,X,X,1,2,0,1,2,2,2.5,0.00002677,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000027,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2577,gi|6325009|ref|NP_015077.1|,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; similar to the petunia WD repeat protein an11; YPL247C is not an essential gene; Ypl247cp [Saccharomyces cerevisiae] ,523,57324,5.9,o,Q,,YPL247C,XVI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,1,2,0,1,2,2,5.54,0.00003733,X,X,X,X,X,X,X,X,1,1,0,1,1,1,5.54,0.00001854,0.000028,2,1,1,0,1,1,1,2.1,0.0000172,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000017,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2578,gi|6320147|ref|NP_010227.1|,"Transcription factor involved in regulation of cell cycle progression from G1 to S phase, forms a complex with Swi6p that binds to MluI cell cycle box regulatory element in promoters of DNA synthesis genes; Mbp1p [Saccharomyces cerevisiae] ",833,93908,9.3,o,Q,MBP1,YDL056W,IV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.2,0.00001172,1,1,0,1,1,1,1.44,0.00001156,X,X,X,X,X,X,X,X,0.000012,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,1.2,0.00002282,0.000023,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2579,gi|6320698|ref|NP_010778.1|,"Serine/threonine protein kinase involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p, components of signaling cascade required for maintenance of cell wall integrity; redundant with Pkh2p; Pkh1p [Sacchar",766,86253,9.2,o,Q,PKH1,YDR490C,IV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.44,0.00001274,1,1,0,1,1,1,2.48,0.00001257,X,X,X,X,X,X,X,X,0.000013,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.22,0.00001531,X,X,X,X,X,X,X,X,0.000015,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2580,gi|6320644|ref|NP_010724.1|,"Serine/threonine protein phosphatase Z, isoform of Ppz1p; involved in regulation of potassium transport, which affects osmotic stability, cell cycle progression, and halotolerance; Ppz2p [Saccharomyces cerevisiae] ",710,78492,9.3,o,Q,PPZ2,YDR436W,IV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,1,1,0,0,1,1,2.68,0.00001375,X,X,X,X,X,X,X,X,1,1,0,0,1,1,2.68,0.00001366,0.000014,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,5.07,0.00001433,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000014,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2581,gi|6320209|ref|NP_010289.1|,Protein whose overexpression suppresses the growth defect of mutants lacking protein kinase A activity; involved in cAMP-mediated signaling; localized to the nucleus; similar to the mouse testis-specific protein PBS13; Sok1p [Saccharomyces cerevisiae] ,901,101082,9.1,o,Q,SOK1,YDR006C,IV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.11,0.00001069,1,1,0,1,1,1,2,0.00001076,0.000011,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.11,0.00001129,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000011,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2582,gi|6320910|ref|NP_010990.1|,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YER067W is not an essential gene; Yer067wp [Saccharomyces cerevisiae] ,161,18989,6.2,i,Q,,YER067W,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,3,0,1,3,3,11.18,0.00017797,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000178,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,8.07,0.00011808,0.000118,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2583,gi|6323536|ref|NP_013607.1|,"Protein of unknown function; has a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; Cue4p [Saccharomyces cerevisiae] ",117,12893,7.5,o5-22i,A,CUE4,YML101C,XIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,2,0,1,2,2,23.93,0.00016327,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000163,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,13.68,0.00008124,0.000081,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2584,gi|6323771|ref|NP_013842.1|,"V-ATPase assembly factor, functions with other V-ATPase assembly factors in the ER to efficiently assemble the V-ATPase membrane sector (V0); overproduction confers resistance to Pichia farinosa killer toxin; Pkr1p [Saccharomyces cerevisiae] ",122,13962,6.8,o20-42i49-67o,A,PKR1,YMR123W,XIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,1,0,1,1,1,14.75,0.00007829,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000078,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,13.93,0.00015582,0.000156,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2585,gi|37362623|ref|NP_009823.2|,GTP binding protein that contains the PEST signal sequence specific for proteolytic enzymes; may be involved in vesicular transport; overexpression leads to accumulation of Golgi-like cisternae with budding vesicles; Ypt10p [Saccharomyces cerevisiae] ,199,21834,7.3,o,Q,YPT10,YBR264C,II,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,1,0,1,1,1,6.53,0.000048,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000048,1,1,2,0,1,2,2,6.03,0.00009038,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.00009,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2586,gi|6323563|ref|NP_013634.1|,"Component of the TRAPP (transport protein particle) complex, which plays an essential role in the vesicular transport from endoplasmic reticulum to Golgi; Bet5p [Saccharomyces cerevisiae] ",159,18434,8.8,o,Q,BET5,YML077W,XIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,11.95,0.00006055,X,X,X,X,X,X,X,X,0.000061,1,1,1,0,1,1,1,5.03,0.00005656,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000057,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2587,gi|6321878|ref|NP_011954.1|,"RNA binding protein, component of the U1 snRNP protein; mutants are defective in meiotic recombination and in formation of viable spores, involved in the formation of DSBs through meiosis-specific splicing of MER2 pre-mRNA; Nam8p [Saccharomyces cerevisiae",523,56972,8.4,o,Q,NAM8,YHR086W,VIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,4,0,2,4,4,6.12,0.00007364,X,X,X,X,X,X,X,X,0.000074,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,3.63,0.00003635,0.000036,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2588,gi|6323923|ref|NP_013994.1|,"Mitochondrial inorganic pyrophosphatase, required for mitochondrial function and possibly involved in energy generation from inorganic pyrophosphate; Ppa2p [Saccharomyces cerevisiae] ",310,35573,7.5,o,Q,PPA2,YMR267W,XIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,2,0,1,2,2,6.13,0.00006162,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000062,1,X,X,X,X,X,X,X,X,1,1,0,1,1,1,7.1,0.00003281,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000033,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2589,gi|6324173|ref|NP_014243.1|,"Protein involved in regulation of sterol biosynthesis; specifically stabilizes Hmg2p, one of two HMG-CoA isoenzymes that catalyze the rate-limiting step in sterol biosynthesis; homolog of mammalian INSIG proteins; Nsg2p [Saccharomyces cerevisiae] ",299,33667,7,o241-263i275-297o,Q,NSG2,YNL156C,XIV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,1,1,0,1,1,1,4.01,0.00003265,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000033,1,1,2,0,1,2,2,4.68,0.00006016,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.00006,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2590,gi|6319914|ref|NP_009995.1|,"Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; has a potential role in the secretory pathway; Cpr4p [Saccharomyces cerevisiae] ",318,35780,6.9,o,S,CPR4,YCR069W,III,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,1,0,1,1,1,9.43,0.00003003,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.00003,1,1,2,0,1,2,2,3.46,0.00005656,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000057,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2591,gi|6320376|ref|NP_010456.1|,Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock; Hsp42p [Saccharomyces cerevisiae] ,375,42817,5.1,o,Q,HSP42,YDR171W,IV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,2,2,0,2,2,2,8.8,0.00005094,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000051,1,1,1,0,1,1,1,4.53,0.00002398,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000024,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2592,gi|6325243|ref|NP_015311.1|,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; Ypl014wp [Saccharomyces cerevisiae] ,381,42477,8.8,o,Q,,YPL014W,XVI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.36,0.00002545,0.000025,1,1,2,0,1,2,2,2.36,0.00004721,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000047,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2593,gi|6323918|ref|NP_013989.1|,Protein of unknown function; interacts weakly with Knr4p; YMR262W is not an essential gene; Ymr262wp [Saccharomyces cerevisiae] ,313,36115,6.7,o,Q,,YMR262W,XIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.83,0.00003098,0.000031,1,1,1,0,1,1,1,3.19,0.00002873,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000029,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2594,gi|6323626|ref|NP_013697.1|,"TFIID subunit (40 kDa), involved in RNA polymerase II transcription initiation, similar to histone H3 with atypical histone fold motif of Spt3-like transcription factors; Taf11p [Saccharomyces cerevisiae] ",346,40624,5.7,o,Q,TAF11,YML015C,XIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,4.62,0.00002803,0.000028,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,7.51,0.00002747,0.000027,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2595,gi|37362633|ref|NP_010604.2|,"Protein involved in minichromosome maintenance; component of the COMA complex (Ctf19p, Okp1p, Mcm21p, Ame1p) that bridges kinetochore subunits that are in contact with centromeric DNA and the subunits bound to microtubules; Mcm21p [Saccharomyces cerevisia",368,42971,5,o,Q,MCM21,YDR318W,IV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,5.98,0.00002635,0.000026,1,1,1,0,1,1,1,4.35,0.00002444,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000024,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
